1.000 0.000 1.000
-1.000 1.000 0.000
0.000 -1.000 1.000
4.064021471851548 15 15 15
141
0.000 0.000 0.000 0
1.000 0.000 0.000 0
2.000 0.000 0.000 0
-2.000 0.000 0.000 0
-1.000 0.000 0.000 0
0.000 0.000 1.000 1
1.000 0.000 1.000 1
2.000 0.000 1.000 1
-3.000 0.000 1.000 1
-2.000 0.000 1.000 1
-1.000 0.000 1.000 1
0.000 0.000 2.000 2
1.000 0.000 2.000 2
-3.000 0.000 2.000 2
-2.000 0.000 2.000 2
-1.000 0.000 2.000 2
-2.000 0.000 3.000 0
-1.000 0.000 3.000 0
1.000 0.000 -3.000 0
2.000 0.000 -3.000 0
0.000 0.000 -2.000 1
1.000 0.000 -2.000 1
2.000 0.000 -2.000 1
3.000 0.000 -2.000 1
-1.000 0.000 -2.000 1
0.000 0.000 -1.000 2
1.000 0.000 -1.000 2
2.000 0.000 -1.000 2
3.000 0.000 -1.000 2
-2.000 0.000 -1.000 2
-1.000 0.000 -1.000 2
0.000 1.000 0.000 0
1.000 1.000 0.000 0
2.000 1.000 0.000 0
3.000 1.000 0.000 0
-2.000 1.000 0.000 0
-1.000 1.000 0.000 0
0.000 1.000 1.000 1
1.000 1.000 1.000 1
2.000 1.000 1.000 1
-2.000 1.000 1.000 1
-1.000 1.000 1.000 1
0.000 1.000 2.000 2
1.000 1.000 2.000 2
-2.000 1.000 2.000 2
-1.000 1.000 2.000 2
0.000 1.000 3.000 0
-2.000 1.000 3.000 0
-1.000 1.000 3.000 0
0.000 1.000 -2.000 1
1.000 1.000 -2.000 1
2.000 1.000 -2.000 1
3.000 1.000 -2.000 1
0.000 1.000 -1.000 2
1.000 1.000 -1.000 2
2.000 1.000 -1.000 2
3.000 1.000 -1.000 2
-1.000 1.000 -1.000 2
0.000 2.000 0.000 0
1.000 2.000 0.000 0
2.000 2.000 0.000 0
3.000 2.000 0.000 0
-1.000 2.000 0.000 0
0.000 2.000 1.000 1
1.000 2.000 1.000 1
2.000 2.000 1.000 1
-1.000 2.000 1.000 1
0.000 2.000 2.000 2
1.000 2.000 2.000 2
2.000 2.000 2.000 2
-2.000 2.000 2.000 2
-1.000 2.000 2.000 2
0.000 2.000 3.000 0
-1.000 2.000 3.000 0
2.000 2.000 -2.000 1
0.000 2.000 -1.000 2
1.000 2.000 -1.000 2
2.000 2.000 -1.000 2
3.000 2.000 -1.000 2
1.000 3.000 0.000 0
2.000 3.000 0.000 0
0.000 3.000 1.000 1
1.000 3.000 1.000 1
2.000 3.000 1.000 1
0.000 3.000 2.000 2
1.000 3.000 2.000 2
-2.000 -3.000 0.000 0
-1.000 -3.000 0.000 0
0.000 -3.000 -2.000 1
-1.000 -3.000 -2.000 1
0.000 -3.000 -1.000 2
-2.000 -3.000 -1.000 2
-1.000 -3.000 -1.000 2
0.000 -2.000 0.000 0
1.000 -2.000 0.000 0
-3.000 -2.000 0.000 0
-2.000 -2.000 0.000 0
-1.000 -2.000 0.000 0
0.000 -2.000 1.000 1
-3.000 -2.000 1.000 1
-2.000 -2.000 1.000 1
-1.000 -2.000 1.000 1
-2.000 -2.000 2.000 2
0.000 -2.000 -3.000 0
1.000 -2.000 -3.000 0
0.000 -2.000 -2.000 1
1.000 -2.000 -2.000 1
2.000 -2.000 -2.000 1
-2.000 -2.000 -2.000 1
-1.000 -2.000 -2.000 1
0.000 -2.000 -1.000 2
1.000 -2.000 -1.000 2
-2.000 -2.000 -1.000 2
-1.000 -2.000 -1.000 2
0.000 -1.000 0.000 0
1.000 -1.000 0.000 0
2.000 -1.000 0.000 0
-3.000 -1.000 0.000 0
-2.000 -1.000 0.000 0
-1.000 -1.000 0.000 0
0.000 -1.000 1.000 1
1.000 -1.000 1.000 1
-3.000 -1.000 1.000 1
-2.000 -1.000 1.000 1
-1.000 -1.000 1.000 1
0.000 -1.000 2.000 2
-3.000 -1.000 2.000 2
-2.000 -1.000 2.000 2
-1.000 -1.000 2.000 2
0.000 -1.000 -3.000 0
1.000 -1.000 -3.000 0
2.000 -1.000 -3.000 0
0.000 -1.000 -2.000 1
1.000 -1.000 -2.000 1
2.000 -1.000 -2.000 1
-1.000 -1.000 -2.000 1
0.000 -1.000 -1.000 2
1.000 -1.000 -1.000 2
2.000 -1.000 -1.000 2
-2.000 -1.000 -1.000 2
-1.000 -1.000 -1.000 2
37
0.000 0.000 0
0.000 1.000 1
0.000 2.000 2
0.000 3.000 0
0.000 -3.000 0
0.000 -2.000 1
0.000 -1.000 2
1.000 0.000 0
1.000 1.000 1
1.000 2.000 2
1.000 3.000 0
1.000 -2.000 1
1.000 -1.000 2
2.000 0.000 0
2.000 1.000 1
2.000 2.000 2
2.000 3.000 0
2.000 -2.000 1
2.000 -1.000 2
3.000 0.000 0
3.000 1.000 1
3.000 2.000 2
-3.000 0.000 0
-3.000 -2.000 1
-3.000 -1.000 2
-2.000 0.000 0
-2.000 1.000 1
-2.000 2.000 2
-2.000 -3.000 0
-2.000 -2.000 1
-2.000 -1.000 2
-1.000 0.000 0
-1.000 1.000 1
-1.000 2.000 2
-1.000 -3.000 0
-1.000 -2.000 1
-1.000 -1.000 2
